attack_name,top1_defense,top1_score,top1_reason,top2_defense,top2_score,top2_reason,top3_defense,top3_score,top3_reason
直拳,左右侧闪,100.0,完美规避直线攻击并让出身位,单手拍挡,100.0,改变攻击轨迹，防守效率极高,闪→挡→反,100.0,高端复合防守，完美克制
勾拳,潜→闪→踢,100.0,复合连招，完美反制高位勾拳,下潜闪避,100.0,低头下潜完美躲避高位弧线,肘挡,100.0,护头胸侧面，完美防勾拳
组合拳,钳制格挡,100.0,直接锁死对方双臂中断连击,挡→撤→绕,100.0,边退边防是标准答案,后跳/撤步,100.0,拉开距离，让对方打空力竭
摆拳,挡→撤→绕,100.0,硬抗后撤步拉开，摆拳最佳克星,下潜闪避,100.0,低头完美规避横扫高位,肘挡,80.0,有效保护侧头部
前踢,闪→挡→反,100.0,侧闪接反击是破腿法核心,左右侧闪,100.0,直线攻击最怕横向规避,单手拍挡,100.0,顺势外拨可使对方失去平衡
侧踢,转身闪避,100.0,顺应冲击力方向旋转卸力,后跳/撤步,100.0,退避三舍，避其锋芒最安全,受控倒地,100.0,如果逃不掉，主动受控倒地免受硬伤
回旋踢,潜→闪→踢,100.0,下潜躲过直接反踢支撑腿，绝杀！,下潜闪避,100.0,低头完美躲避高位扫踢！,沉身防御,100.0,降重心底盘死守，完美规避高位
低扫腿,后跳/撤步,100.0,跳出扫腿半径是最佳解法,下压格挡,100.0,完美封堵下盘横扫,挡→撤→绕,80.0,标准的退防动作
膝撞,后跳/撤步,100.0,膝撞极短，撤步即空,下压格挡,100.0,双手下压完美锁死膝盖上提空间,滑步环绕,80.0,近战侧绕收益高
拳腿组合,挡→撤→绕,100.0,教科书式的破连招退防,后跳/撤步,100.0,脱离连段距离是唯一解,闪→挡→反,80.0,防住一套接反击
五连踢,后跳/撤步,100.0,一退再退，等其力竭,挡→撤→绕,80.0,唯一复合退防解法,步点调整,80.0,连续碎步化解压迫
冲撞,滑步环绕,100.0,一旦绕开，对方背门大开,转身闪避,100.0,斗牛士动作，顺势旋身完美避让,重心补偿,80.0,拼电机扭矩强行顶牛
倒地反击,后跳/撤步,100.0,拉开距离让对方在地上空挥,快速起身,100.0,若双方倒地，我方快速起身即占优,倒地防御,100.0,地面缠斗防御
