attack_code,attack_name,attack_category,defense_code,defense_name,defense_category,explicit_match,reference_score_0_5,final_score_0_10,counter_gain_0_10,fail_loss_0_10,matchup_score,reason,source,confidence,remark
A01,直拳,拳法,D01,十字格挡,block,1,4.0,8.0,1.0,4.0,80.0,正面封挡直线快攻,表2_攻防克制表,高,
A01,直拳,拳法,D02,单手拍挡,block,1,5.0,10.0,3.0,6.0,100.0,改变攻击轨迹，防守效率极高,表2_攻防克制表,高,
A01,直拳,拳法,D03,肘挡,block,0,2.0,4.0,2.0,5.0,40.0,骨架硬抗，略显笨重,物理推演,中,
A01,直拳,拳法,D04,下压格挡,block,0,0.0,0.0,2.0,7.0,0.0,高位攻击，下压格挡无效,物理推演,中,
A01,直拳,拳法,D05,钳制格挡,block,0,2.0,4.0,8.0,9.0,40.0,可尝试抓取，但风险极高,物理推演,中,
A01,直拳,拳法,D06,左右侧闪,evade,1,5.0,10.0,6.0,9.0,100.0,完美规避直线攻击并让出身位,表2_攻防克制表,高,
A01,直拳,拳法,D07,下潜闪避,evade,0,3.0,6.0,5.0,8.5,60.0,可规避高位直拳,物理推演,中,
A01,直拳,拳法,D08,后跳/撤步,evade,0,3.0,6.0,2.0,5.0,60.0,安全拉开距离，但丧失反击机会,表2_攻防克制表,中,
A01,直拳,拳法,D09,转身闪避,evade,0,1.0,2.0,4.0,8.0,20.0,应对直拳过于多余，易送后背,物理推演,中,
A01,直拳,拳法,D10,滑步环绕,evade,0,4.0,8.0,9.0,7.0,80.0,侧向绕行效果极佳,表2_攻防克制表,中,
A01,直拳,拳法,D11,护头防御,stance,0,3.0,6.0,0.0,2.0,60.0,静态防御，容错率高,表2_攻防克制表,中,
A01,直拳,拳法,D12,沉身防御,stance,0,2.0,4.0,1.0,3.0,40.0,部分规避高位打击,物理推演,中,
A01,直拳,拳法,D13,侧身防御,stance,0,4.0,8.0,3.0,4.0,80.0,减少受击面积，对直拳有效,物理推演,中,
A01,直拳,拳法,D14,重心补偿,balance,0,1.0,2.0,0.0,8.0,20.0,直拳冲击力小，无需重心补偿,物理推演,中,
A01,直拳,拳法,D15,卸力缓冲,balance,0,3.0,6.0,2.0,5.0,60.0,顺势后移减伤,物理推演,中,
A01,直拳,拳法,D16,步点调整,balance,0,2.0,4.0,5.0,6.0,40.0,小幅微调距离,物理推演,中,
A01,直拳,拳法,D17,受控倒地,ground,0,0.0,0.0,0.0,10.0,0.0,无意义动作，直接送分,物理推演,高,
A01,直拳,拳法,D18,快速起身,ground,0,0.0,0.0,2.0,8.0,0.0,非倒地状态不可用,物理推演,高,
A01,直拳,拳法,D19,倒地防御,ground,0,0.0,0.0,0.0,9.0,0.0,非倒地状态不可用,物理推演,高,
A01,直拳,拳法,D20,闪→挡→反,composite,0,5.0,10.0,7.0,8.0,100.0,高端复合防守，完美克制,表2_攻防克制表,中,
A01,直拳,拳法,D21,潜→闪→踢,composite,0,4.0,8.0,8.0,9.0,80.0,复合反击，收益高,表2_攻防克制表,中,
