code,name,category,part,attack_range,target_zones,impact_level,accuracy_level,balance_break_level,combo_potential,pressure_potential,tactical_total_score,confidence,data_source,notes,limb_mass,limb_length,equivalent_mass,terminal_speed,momentum
A01,直拳,拳法,arm,near-mid,"['头', '躯干']",2.0,5.0,1.0,5.0,3.0,2.45,高,公式推演+机电映射,基础起手技，映射总分极高体现其实用性,2.1,0.5,6.300000000000001,8.0,45.36
A02,勾拳,拳法,arm,near,"['头', '躯干']",1.0,5.0,2.0,5.0,3.0,2.25,中,公式推演+机电映射,修正了等效半径，打击力降低，近身特化,2.1,0.5,9.45,7.0,46.26
A03,组合拳,拳法,arm,near-mid,"['头', '躯干']",2.0,4.0,2.0,3.0,4.0,1.75,中,公式推演+机电映射,大幅下调连招潜力，体现连击收尾特征,2.1,0.5,8.4,7.25,54.800000000000004
A04,摆拳,拳法,arm,near-mid,"['头', '躯干']",1.0,4.0,3.0,4.0,3.0,1.9,高,公式推演+机电映射,横扫攻击，覆盖面大但前摇较长,2.1,0.5,12.6,6.0,68.0
A05,前踢,腿法,leg,mid,"['躯干', '四肢']",3.0,4.0,3.0,4.0,4.0,2.4,中,公式推演+机电映射,直线远距离打击，数据均衡,8.4,0.7,16.8,11.899999999999999,185.60000000000002
A06,侧踢,腿法,leg,mid,['躯干'],5.0,3.0,5.0,3.0,5.0,2.6,高,公式推演+机电映射,动量霸主；破防极高，是核心确反重击,8.4,0.7,23.1,13.649999999999999,292.8
A07,回旋踢,腿法,leg,mid,"['头', '躯干']",4.0,1.0,4.0,1.0,2.0,1.1,中,公式推演+机电映射,动能霸主；但前摇极长且极易失稳，收益期望严重受限,8.4,0.7,26.25,14.7,358.26
A08,低扫腿,腿法,leg,near-mid,['下肢'],2.0,4.0,3.0,3.0,3.0,1.9,高,公式推演+机电映射,专攻底盘破坏平衡,8.4,0.7,18.9,10.5,184.24
A09,膝撞,腿法,leg,near,['躯干'],2.0,5.0,4.0,4.0,4.0,2.55,中,公式推演+机电映射,修正为大腿半长发力，动能低但传导冲击力巨大,8.4,0.7,25.200000000000003,9.1,114.60000000000001
A10,拳腿组合,组合技,leg,near-mid,"['头', '躯干', '下肢']",3.0,4.0,3.0,3.0,4.0,2.05,中,公式推演+机电映射,综合型连段，修正后降低了后续追击潜力,8.4,0.7,17.85,10.85,179.85000000000002
A11,五连踢,组合技,leg,mid,"['躯干', '四肢']",3.0,3.0,3.0,2.0,3.0,1.45,中,公式推演+机电映射,体力消耗极值，修正连招度Ccombo至极低0.2,8.4,0.7,13.65,11.2,141.95000000000002
A12,冲撞,特殊技,torso,near,['躯干'],1.0,2.0,5.0,2.0,5.0,1.1,高,公式推演+平动动力学,修正为质心平动模型(v=2.5m/s)，体现重质量压迫而非高能打击,21.0,0.3,42.0,0.75,105.0
A13,倒地反击,特殊技,arm,near,"['下肢', '近身部位']",1.0,3.0,1.0,2.0,1.0,1.05,中,公式推演+机电映射,略微提升角速度使其具备基础脱困推力,2.1,0.5,4.2,4.0,15.100000000000001
