code,name,category,part,target_zones,attack_range,eta_prior,omega_prior,dt_prior,impact_level,accuracy_level,balance_break_level,combo_potential,time_cost_prior,balance_risk_prior,energy_cost_prior,counter_risk_prior,pressure_potential,notes,limb_mass,limb_length,equivalent_mass,terminal_speed,momentum,kinetic_energy,avg_impact_force,support_loss_proxy,rotation_risk_proxy,recovery_burden_proxy,exposure_proxy,eta,omega,dt,balance_risk,time_cost,energy_cost,counter_risk
A01,直拳,拳法,arm,"['头部', '躯干']",near-mid,0.22,12.0,0.05,3.0,4.5,2.5,4.0,1.5,1.5,1.8,2.0,3.2,直线快速前伸，命中率高，适合起手和衔接。,2.1,0.5,6.720000000000001,6.0,40.32000000000001,37.800000000000004,806.4000000000001,1.2000000000000002,18.0,1.4050000000000002,1.8,0.22,12.0,0.05,1.5,1.5,1.8,2.0
A02,勾拳,拳法,arm,"['头部', '躯干']",near,0.4,10.0,0.08,3.5,3.2,3.0,3.4,2.2,2.2,2.2,2.8,3.3,侧向弧线攻击，近身威胁较大，但更依赖时机。,2.1,0.5,10.5,5.0,52.5,26.25,656.25,1.7600000000000002,22.0,1.9200000000000004,2.56,0.4,10.0,0.08,2.2,2.2,2.2,2.8
A03,组合拳,拳法,arm,"['头部', '躯干']",near-mid,0.3,11.0,0.06,3.8,3.8,3.2,4.6,2.5,2.0,2.6,2.8,4.0,直拳+勾拳连续连击，重在节奏压制与连续得分。,2.1,0.5,8.4,5.5,46.2,31.762500000000003,770.0000000000001,1.6,22.0,2.1550000000000002,2.48,0.3,11.0,0.06,2.0,2.5,2.6,2.8
A04,摆拳,拳法,arm,"['头部', '躯干']",near-mid,0.6,8.0,0.1,4.0,2.8,3.6,2.6,3.0,3.0,2.8,3.5,3.4,大弧度摆臂，威力较强，但前摇较大、容易被预判。,2.1,0.5,14.7,4.0,58.8,16.8,587.9999999999999,2.4000000000000004,24.0,2.5300000000000002,3.3000000000000003,0.6,8.0,0.1,3.0,3.0,2.8,3.5
A05,前踢,腿法,leg,"['躯干', '四肢']",mid,0.3,14.0,0.06,4.0,3.8,3.5,3.0,2.4,2.6,3.0,2.8,3.5,直线踢击，兼顾距离与爆发，适合中距离压迫。,8.4,0.7,14.7,9.799999999999999,144.05999999999997,403.36799999999994,2400.9999999999995,3.12,36.4,2.25,2.7199999999999998,0.3,14.0,0.06,2.6,2.4,3.0,2.8
A06,侧踢,腿法,leg,['躯干'],mid,0.7,15.0,0.07,4.8,3.2,4.5,2.4,3.0,3.8,3.8,3.5,4.2,爆发力强，破坏平衡能力突出，但单腿支撑风险较高。,8.4,0.7,23.1,10.5,242.55,463.05,3465.0,4.56,57.0,2.82,3.62,0.7,15.0,0.07,3.8,3.0,3.8,3.5
A07,回旋踢,腿法,leg,"['头部', '躯干']",mid,0.8,8.0,0.12,4.6,2.2,4.3,1.8,4.2,4.6,4.2,4.2,3.8,大角度转体带动腿部扫踢，观赏性和威慑力强，但稳定性代价大。,8.4,0.7,25.200000000000003,5.6,141.12,131.712,1176.0,5.52,36.8,3.6000000000000005,4.359999999999999,0.8,8.0,0.12,4.6,4.2,4.2,4.2
A08,低扫腿,腿法,leg,['下肢'],near-mid,0.5,10.0,0.09,3.6,3.6,4.6,3.2,2.8,2.8,3.0,3.0,3.7,主要针对下肢，核心价值在于破坏对方重心与步态。,8.4,0.7,18.9,7.0,132.29999999999998,205.8,1469.9999999999998,3.36,28.0,2.4899999999999998,2.92,0.5,10.0,0.09,2.8,2.8,3.0,3.0
A09,膝撞,腿法,leg,['躯干'],near,0.9,8.0,0.15,4.2,3.0,4.0,2.5,2.8,2.7,3.4,3.2,3.6,近身冲击强，适合缠斗和贴身阶段。,8.4,0.7,27.300000000000004,5.6,152.88000000000002,131.712,1019.2000000000002,3.24,21.6,2.75,3.0,0.9,8.0,0.15,2.7,2.8,3.4,3.2
A10,拳腿组合,组合技,leg,"['头部', '躯干', '下肢']",near-mid,0.4,12.0,0.06,4.1,3.6,3.8,4.7,3.3,3.0,3.6,3.5,4.4,通过上下段切换提高压制性，但控制复杂度更高。,8.4,0.7,16.8,8.399999999999999,141.11999999999998,296.3519999999999,2351.9999999999995,3.5999999999999996,36.0,2.865,3.3000000000000003,0.4,12.0,0.06,3.0,3.3,3.6,3.5
A11,五连踢,组合技,leg,"['躯干', '四肢']",mid,0.2,10.0,0.05,3.8,3.0,3.8,5.0,4.6,4.0,4.8,4.0,4.6,连续多次踢击连招，核心优势在连续压制，缺点是能耗高、节奏长。,8.4,0.7,12.600000000000001,7.0,88.20000000000002,205.8,1764.0000000000002,4.8,40.0,3.85,4.0,0.2,10.0,0.05,4.0,4.6,4.8,4.0
A12,冲撞,特殊技,torso,['躯干'],near,1.0,6.0,0.2,4.4,3.4,4.8,2.0,3.5,3.6,4.0,3.8,4.8,以身体整体质量形成冲击，适合制造压制与失衡。,21.0,0.3,42.0,1.7999999999999998,75.6,34.019999999999996,377.99999999999994,3.6,21.6,3.3749999999999996,3.7199999999999998,1.0,6.0,0.2,3.6,3.5,4.0,3.8
A13,倒地反击,特殊技,arm,"['下肢', '近身部位']",near,0.1,4.0,0.15,2.0,2.8,2.4,1.5,3.8,3.5,2.5,4.2,2.2,特殊状态下的应急动作，更多用于减少失分或争取节奏恢复。,2.1,0.5,4.2,2.0,8.4,4.2,56.00000000000001,2.8000000000000003,14.0,2.885,3.92,0.1,4.0,0.15,3.5,3.8,2.5,4.2
